enzyme,depth,temperature,n,Vmax_ds_mean,Vmax_ds_sd,Vmax_ds_se,Vmax_MBC_mean,Vmax_MBC_sd,Vmax_MBC_se,Km_mean,Km_sd,Km_se,CE_ds_mean,CE_ds_sd,CE_ds_se,CE_MBC_mean,CE_MBC_sd,CE_MBC_se
N/A,cm,degreeCelsius,N/A,nmol/g_dry_soil/h,nmol/g_dry_soil/h,nmol/g_dry_soil/h,nmol/microg_MBC/h,nmol/microg_MBC/h,nmol/microg_MBC/h,micromolar,micromolar,micromolar,N/A,N/A,N/A,N/A,N/A,N/A
BG,30-40,16,3,180.96559173076,99.884218485015,57.6681804301188,1.23610732816661,0.42059445608187,0.242830322438532,9.14554317548825,2.37552694694578,1.37151112228635,18.6806070715368,6.52445109815062,3.76689359783181,0.133092746796083,0.0125330330346721,0.00723594999633041
BG,30-40,25,3,219.035511453581,116.103053502888,67.03212919363,1.51211734446651,0.444750818401512,0.256777004726419,9.57889132394722,4.86838540926301,2.81076362655685,22.6780194678545,0.557904145731434,0.322106108720052,0.172233025100476,0.0459733501607546,0.0265427260908606
BG,30-40,35,3,367.858494981215,189.688975405185,109.516981012488,2.52600597891448,0.849101685311187,0.490229086583779,11.1280233204358,6.49116221244139,3.74767425070656,33.7339969019237,6.40945945305423,3.70050314058085,0.256847018041713,0.0791266633517587,0.0456838003862148
BG,30-40,50,3,526.448195732773,244.54272899783,141.186810415263,3.65440666918541,0.93641735841031,0.540640813952031,15.3753244889638,6.45875142508403,3.72896187390114,33.7333030557629,2.54568828818013,1.46975381845368,0.254386155182636,0.0596719895452844,0.0344516392270505
BG,50-60,4,2,26.0863366986421,20.4091991250995,14.4314830999444,0.227268195568969,0.146277151200727,0.103433565546684,7.43439291211038,1.93297463100243,1.36681946944338,4.00099806539833,3.78551782464446,2.67676532410864,0.0342866556949899,0.0285904161044296,0.0202164771043872
BG,50-60,10,3,56.4728142250204,30.7717086011232,17.7660542442832,0.553032756743571,0.184545740774658,0.106547533114048,6.26243957934514,2.54861546835011,1.47144382671278,10.0906568371201,5.93385231223688,3.42591122980145,0.101329795461991,0.0508839109728843,0.0293778396976157
BG,50-60,16,2,82.5205584086961,44.6472260015475,31.5703562668626,0.788754376081201,0.201444087031986,0.14244247997025,5.45604844510308,2.64031280757666,1.86698309069115,14.8878455039198,0.978484134450301,0.691892766753258,0.153619037134621,0.0374186971131799,0.026459014471895
BG,50-60,25,3,91.7800607889927,48.1868412868664,27.8206857883701,0.898221512405112,0.272951774735774,0.157588780619485,12.0313790767453,6.78098881085258,3.91500571531758,9.24966391942142,5.18931274452615,2.99605110996133,0.095429486229324,0.0554596188724957,0.0320196258851894
BG,50-60,35,3,158.965239468349,99.2649837210535,57.3106650724541,1.52608116503779,0.606887632489138,0.350386737985459,9.50145577198834,1.59146881413198,0.91883494824599,17.2381012507738,11.8271328464966,6.82839833266626,0.165059956383942,0.0764929951340989,0.0441632513317927
BG,50-60,50,3,213.365267327813,109.445180990845,63.1882047065717,2.09897562927882,0.641878478342913,0.370588712258308,9.1449255882011,1.46698965630087,0.846966872963702,22.5670118427265,7.97555424462838,4.60468839007266,0.225941959333491,0.0336270386234551,0.0194145798013018
BG,60-70,4,3,21.6092216559284,13.7205254846477,7.92154908198447,0.195737159853196,0.0639338420405509,0.0369122209124391,20.1115144645379,20.4286133803316,11.7944654343053,2.08662450243821,1.70844630910332,0.986371936456826,0.0169785926223927,0.0112784034984942,0.00651158929588486
BG,60-70,10,3,49.8550001686382,41.9740741019349,24.2337429817374,0.432821484330306,0.229903665147804,0.132734942960766,8.9703668478552,4.25527645246905,2.45678500530928,6.16077599651468,4.3691412338103,2.52252486746787,0.0523085040872383,0.0236719139949341,0.0136669859172089
BG,60-70,16,2,66.753946322947,34.5041584656455,24.3981244301932,0.511997981609212,0.183746921872269,0.129928694478036,9.35858131314839,1.702746601982,1.20402366890383,7.59401547644553,5.06859329703297,3.58403669140869,0.0574459341085911,0.0300860548786141,0.0212740534238186
BG,60-70,25,3,58.6501054084084,42.4657327578692,24.5176022390905,0.5125261389795,0.206942088660692,0.119478070594914,9.77219732689776,2.77127090028207,1.59999400027523,6.24850151641716,4.00418486000259,2.31181720680752,0.0541089664119301,0.0196536644102883,0.0113470484378425
BG,60-70,35,3,111.633788419244,90.6620191533916,52.3437411634856,0.973825333928484,0.486362077398538,0.280801276309672,10.6621380231104,2.90548389282649,1.67748190764949,11.418668651077,10.5048041699614,6.0649515153115,0.099923713533937,0.0620741018229591,0.0358384993971897
BG,60-70,50,3,155.963229367237,128.558867255244,74.2234966165287,1.35471886554843,0.6935462566637,0.400419117980245,11.4891732391533,1.96325913707786,1.1334881912809,12.9434021803309,8.86019419528253,5.11543550371873,0.114139379459865,0.0411453988833808,0.0237553071212344
BG,80-90,4,2,21.6702450018778,6.47212510730761,4.57648355206492,0.237170061860961,0.0161312803282165,0.0114065377093031,17.3971828005984,6.14171054421833,4.3428451739017,1.39842792278584,0.865707097444113,0.612147359124055,0.014713189739134,0.00612141828414181,0.00432849637919599
BG,80-90,10,3,37.9349151043552,19.1675129933655,11.0663687864152,0.44544578070923,0.158656914247159,0.0916006121493928,10.6657770465995,4.62707678443566,2.67144402705499,3.49216975228036,0.596789650167729,0.344556665173921,0.0432895939933077,0.00535262401638659,0.00309033891673166
BG,80-90,16,3,107.017040236144,96.8208383825384,55.8995371033238,1.33447431338509,1.31014755739316,0.756414044939074,194.364602601315,272.258843431001,157.188716544145,1.37827778202441,1.04306713392939,0.602215090556984,0.0185278245987064,0.0174979666709427,0.0101024557677398
BG,80-90,25,2,57.0298149750944,20.8008225068511,14.7084026488522,0.619185044306909,0.0851791579490794,0.060230760201554,9.73154899120681,1.93370998804238,1.36733944539293,5.76168592802929,0.992585341612687,0.701863825960697,0.0640208359001435,0.00396838899015411,0.002806074765324
BG,80-90,35,3,93.0502911566296,52.9551303084843,30.5736587385751,1.07749785531139,0.417091794467658,0.240808059812686,10.67379954724,0.501240806340966,0.289391514469782,8.57774689305344,4.61881281952514,2.66667282468933,0.099851240825436,0.0352750704213556,0.0203660714034527
BG,80-90,50,3,133.982494093123,71.6065835446235,41.3420802852378,1.56461361349691,0.596323806055097,0.344287709950092,14.8609083874914,4.34296247270002,2.5074105526938,8.88041064266121,4.43487051079972,2.56047368323135,0.103959449757128,0.0251538575022966,0.0145225864001084
LAP,00-10,4,3,65.6738907223997,20.4184794001163,11.7886145781,0.235758026566232,0.152624539818382,0.0881178191490854,481.141932336322,290.648538262233,167.806011805272,0.158217655449154,0.0542392560990982,0.0313150491094594,0.000494921694718727,7.31489329572011e-05,4.2232556133774e-05
LAP,00-10,10,3,140.43195005539,9.21550515435719,5.32057438158651,0.473109968797571,0.176057195764528,0.101646669367421,425.119912606265,150.327397359278,86.7915633319553,0.357199999234245,0.118445005802874,0.068384255984456,0.00111110094383049,9.55665819799965e-05,5.51753918316834e-05
LAP,00-10,16,3,197.600492574488,14.9396391050125,8.62540465887481,0.67372681298642,0.285826132987034,0.165021794821494,457.247850534624,130.61006209458,75.4077545091793,0.457026792497223,0.14215779500555,0.0820748412138579,0.00145665182412466,0.000309024327020216,0.000178415278391264
LAP,00-10,25,3,200.098860278327,35.1858798790073,20.3145772198187,0.66160162262399,0.203645105090569,0.117574556243189,337.720733837353,58.4999442574102,33.7749585645939,0.599104850763235,0.100330614832551,0.057925907481534,0.00194188686481027,0.000386446043592815,0.000223114727295578
LAP,00-10,35,3,295.353869604338,57.9701410453904,33.4690765375167,0.971997192216227,0.285406981709607,0.16477979771864,229.582318046288,47.2840025685693,27.2994316113265,1.31165374478336,0.274732384366819,0.158616816069291,0.00420606012109211,0.000646206232732543,0.000373087342420148
