sampleID,IGSN,core,depth,enzyme,temperature,substrate_conc,activity
N/A,N/A,N/A,cm,N/A,degreeCelsius,micromolar,nmol/g_dry_soil/h
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,80,2198.272277
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,40,1366.423189
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,40,1095.127578
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,40,1629.827212
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,40,1567.63331
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,10,554.7156019
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,10,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,10,539.8712208
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,10,536.4620376
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,1200,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,1200,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,1200,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,1200,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,700,4736.270199
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,700,5426.387973
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,700,5887.057516
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,700,5773.207276
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,350,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,350,5158.738505
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,350,5202.704012
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,350,5155.015034
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,200,4057.87932
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,200,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,200,4171.962133
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,200,4258.239807
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,130,3671.571096
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,130,3906.078365
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,130,4154.063355
