sampleID,IGSN,core,depth,enzyme,temperature,Vmax_ds,Vmax_MBC,Km,CE_ds,CE_MBC
N/A,N/A,N/A,cm,N/A,degreeCelsius,nmol/g_dry_soil/h,nmol/microg_MBC/h,micromolar,N/A,N/A
BE201907092COP0010,IEBWE00A6,Core2,00-10,LAP,10,150.84117022122,0.389627295352702,325.702381642422,0.463125782073105,0.00119626787310527
BE201907092COP0010,IEBWE00A6,Core2,00-10,LAP,16,208.718523911604,0.539126246782768,339.148776387963,0.615418773243175,0.00158964526578755
BE201907092COP0010,IEBWE00A6,Core2,00-10,LAP,25,181.893801928891,0.469837180280668,270.395052860539,0.672696486139879,0.00173759532694925
BE201907092COP0010,IEBWE00A6,Core2,00-10,LAP,35,267.787524298817,0.691703257596886,175.006843781959,1.5301545843113,0.00395243547423025
BE201907092COP0010,IEBWE00A6,Core2,00-10,LAP,50,325.93301018198,0.841894802573636,178.882185551334,1.82205404734641,0.00470642059732681
BE201907092COP1020,IEBWE00A7,Core2,10-20,AP,4,799.005523962393,2.77575256669059,32.1989333312775,24.8146581671466,0.0862063515624062
BE201907092COP1020,IEBWE00A7,Core2,10-20,AP,10,1450.76825352326,5.03998230627996,34.0733243109768,42.5778312759431,0.147915778932563
BE201907092COP1020,IEBWE00A7,Core2,10-20,AP,16,2186.48699168641,7.5958759948383,40.5268616826654,53.9515496859122,0.187428181691337
BE201907092COP1020,IEBWE00A7,Core2,10-20,AP,25,1989.9703080711,6.91317522171022,41.6362932388374,47.7941275092879,0.166037240204221
BE201907092COP1020,IEBWE00A7,Core2,10-20,AP,35,2628.24913517996,9.13056175969749,43.2248826504355,60.8040779759868,0.211233928233823
BE201907092COP1020,IEBWE00A7,Core2,10-20,AP,50,2960.53087499804,10.2849115914614,29.9651000834664,98.7992987425911,0.343229675950132
BE201907092COP1020,IEBWE00A7,Core2,10-20,BG,4,289.767911563294,1.00665639991776,13.2263943552209,21.9083072665917,0.0761096617023516
BE201907092COP1020,IEBWE00A7,Core2,10-20,BG,10,544.208435230447,1.89058512814072,13.9894867471242,38.9012438460133,0.135143280258611
BE201907092COP1020,IEBWE00A7,Core2,10-20,BG,16,951.428019448475,3.30526972317872,27.0612573010022,35.1583080145076,0.122140286625053
BE201907092COP1020,IEBWE00A7,Core2,10-20,BG,25,854.250759623728,2.96767502540389,22.9807194462247,37.1724985208879,0.129137603039292
BE201907092COP1020,IEBWE00A7,Core2,10-20,BG,35,1264.5965385753,4.39322004980736,30.5096589940285,41.4490551606234,0.143994400287044
BE201907092COP1020,IEBWE00A7,Core2,10-20,BG,50,1775.12815474298,6.16681159761853,38.5975846814419,45.9906538036946,0.159771955901261
BE201907092COP1020,IEBWE00A7,Core2,10-20,LAP,4,52.175009181077,0.18125646357646,486.951091380236,0.107146302995625,0.000372227245784989
BE201907092COP1020,IEBWE00A7,Core2,10-20,LAP,10,93.2573138209876,0.323976769168694,343.72837087509,0.271311075031618,0.000942537179412596
BE201907092COP1020,IEBWE00A7,Core2,10-20,LAP,16,137.193404258978,0.476611152969703,390.306232313258,0.351501956414745,0.00122112104166243
BE201907092COP1020,IEBWE00A7,Core2,10-20,LAP,25,112.926182427006,0.392306600289643,216.885703139468,0.520671398770758,0.00180881724618506
BE201907092COP1020,IEBWE00A7,Core2,10-20,LAP,35,203.792371761951,0.707976580918885,251.489671958036,0.810340918476987,0.00281513183188302
BE201907092COP1020,IEBWE00A7,Core2,10-20,LAP,50,196.333217284752,0.682063409401936,118.152983839339,1.66168649241833,0.00577271421540554
BE201907092COP3040,IEBWE00A9,Core2,30-40,AP,4,433.051261648419,2.53049302850693,32.6599369540382,13.2594028658979,0.077480034087881
BE201907092COP3040,IEBWE00A9,Core2,30-40,AP,10,745.603058213815,4.35685912485643,25.302030660941,29.4681114020152,0.172194049688753
BE201907092COP3040,IEBWE00A9,Core2,30-40,AP,16,1026.30519586439,5.99711482970748,27.1235642131374,37.8381391103199,0.22110349445899
BE201907092COP3040,IEBWE00A9,Core2,30-40,AP,25,1046.99441122938,6.11801025221957,27.9019418537982,37.524069712261,0.219268260405566
BE201907092COP3040,IEBWE00A9,Core2,30-40,AP,35,1586.42386239822,9.27011390932031,27.1344539231198,58.4652953360713,0.341636280412548
BE201907092COP3040,IEBWE00A9,Core2,30-40,AP,50,1894.4964917433,11.0703064266312,21.2767630263277,89.0406350533243,0.520300311327102
BE201907092COP3040,IEBWE00A9,Core2,30-40,BG,4,90.2359022223696,0.527284739052723,5.97233051123619,15.1089933908718,0.0882879368549184
BE201907092COP3040,IEBWE00A9,Core2,30-40,BG,10,189.570367653765,1.1077360493844,8.34147794296611,22.7262325633336,0.13279853485898
BE201907092COP3040,IEBWE00A9,Core2,30-40,BG,16,277.050182493874,1.61891585924185,11.0901779870545,24.9815812530036,0.14597744609073
BE201907092COP3040,IEBWE00A9,Core2,30-40,BG,25,341.996551091756,1.99842366240168,14.7132126205892,23.2441792225021,0.135825105905501
BE201907092COP3040,IEBWE00A9,Core2,30-40,BG,35,511.391434186032,2.98826622538865,17.8096637685646,28.7142666381314,0.167789030956506
BE201907092COP3040,IEBWE00A9,Core2,30-40,BG,50,728.399753439055,4.25633328264066,19.8781467487709,36.6432425841756,0.214121232549198
BE201907092COP3040,IEBWE00A9,Core2,30-40,LAP,4,8.17354917130114,0.0477613415035564,171.943911463932,0.0475361360673457,0.00027777279868136
BE201907092COP3040,IEBWE00A9,Core2,30-40,LAP,10,19.021680052037,0.111151341711706,150.75561231822,0.126175601422289,0.00073729488410079
BE201907092COP3040,IEBWE00A9,Core2,30-40,LAP,16,23.7282446508114,0.138653695266989,134.144137236844,0.176886184812661,0.00103361725769783
BE201907092COP3040,IEBWE00A9,Core2,30-40,LAP,25,30.8799702618634,0.180444109943703,130.740616390094,0.236192631750535,0.00138016872587863
BE201907092COP3040,IEBWE00A9,Core2,30-40,LAP,35,52.0367932161435,0.304071952031891,103.969782918833,0.500499200395249,0.00292461851410494
BE201907092COP3040,IEBWE00A9,Core2,30-40,LAP,50,74.1627368257847,0.433362756635967,155.933355256292,0.475605342448323,0.00277915367064149
BE201907092COP5060,IEBWE00AB,Core2,50-60,AP,4,247.043149490505,2.01633762660936,9.281637449608,26.6163326063698,0.217239429740333
BE201907092COP5060,IEBWE00AB,Core2,50-60,AP,10,571.440320750054,4.66402983635188,11.0398198057777,51.7617434707574,0.422473366269162
BE201907092COP5060,IEBWE00AB,Core2,50-60,AP,16,721.449547915741,5.88838780659542,11.6979920177042,61.6729389816536,0.503367398240973
BE201907092COP5060,IEBWE00AB,Core2,50-60,AP,25,782.348049538555,6.38543433664272,16.3594010510393,47.8225362345311,0.390322012200871
BE201907092COP5060,IEBWE00AB,Core2,50-60,AP,35,1107.40363470115,9.03850044454567,19.7006250868991,56.2115988612753,0.458792571539076
BE201907092COP5060,IEBWE00AB,Core2,50-60,AP,50,1503.97406668311,12.275262464683,13.5728304464406,110.807695757927,0.90439960280371
BE201907092COP5060,IEBWE00AB,Core2,50-60,BG,4,40.5178197985865,0.330701761115653,6.067573442667,6.67776338950697,0.0545031327993771
BE201907092COP5060,IEBWE00AB,Core2,50-60,BG,10,91.8738514115043,0.749863754103626,5.79128433850114,15.8641582836325,0.129481425928001
BE201907092COP5060,IEBWE00AB,Core2,50-60,BG,16,114.090914675559,0.931196856051451,7.32303153579423,15.579738270673,0.127160022662726
BE201907092COP5060,IEBWE00AB,Core2,50-60,BG,25,147.420693590126,1.20323065844837,11.3302730972956,13.011221558756,0.106196086194565
BE201907092COP5060,IEBWE00AB,Core2,50-60,BG,35,272.495126431358,2.22407372001359,8.82049571214895,30.8934027433442,0.252148381745739
BE201907092COP5060,IEBWE00AB,Core2,50-60,BG,50,339.174455333083,2.76830269401628,10.6741196614917,31.7754031329348,0.259347166961534
BE201907092COP5060,IEBWE00AB,Core2,50-60,LAP,4,3.10964918301124,0.0253805971393738,81.0870554808861,0.038349514168069,0.000313004301227297
BE201907092COP5060,IEBWE00AB,Core2,50-60,LAP,10,7.20878939040885,0.0588373056292434,61.4456326390526,0.11731980094916,0.000957550652539763
BE201907092COP5060,IEBWE00AB,Core2,50-60,LAP,16,13.6303691639444,0.111249497371282,188.731549335959,0.0722209360962811,0.000589458931284709
BE201907092COP5060,IEBWE00AB,Core2,50-60,LAP,25,17.6180688149874,0.143796640923319,101.116499294908,0.174235351676921,0.00142208879783243
BE201907092COP5060,IEBWE00AB,Core2,50-60,LAP,35,38.4251167864672,0.313621361058589,169.030700591804,0.227326258791654,0.00185541064410518
BE201907092COP5060,IEBWE00AB,Core2,50-60,LAP,50,51.6692871662098,0.421718748599896,120.257189174969,0.429656534637887,0.00350680696508144
BE201907092COP6070,IEBWE00AC,Core2,60-70,AP,4,216.888441228143,1.52740881264653,8.17575435112201,26.5282482708618,0.18682175944253
BE201907092COP6070,IEBWE00AC,Core2,60-70,AP,10,592.234893155849,4.17073768357944,10.3486673382754,57.2281312942992,0.403021717410283
BE201907092COP6070,IEBWE00AC,Core2,60-70,AP,16,572.541524065006,4.03204967729508,10.5807397905271,54.1116722837852,0.381074457657958
BE201907092COP6070,IEBWE00AC,Core2,60-70,AP,25,599.563221971069,4.22234649201088,11.2213325444985,53.4306616075663,0.376278527997193
BE201907092COP6070,IEBWE00AC,Core2,60-70,AP,35,794.700565690031,5.59657601196607,11.4915054959592,69.155478885641,0.487018521109704
BE201907092COP6070,IEBWE00AC,Core2,60-70,AP,50,1288.36965765821,9.07317678116175,10.773227767638,119.589939565595,0.842196691359014
BE201907092COP6070,IEBWE00AC,Core2,60-70,BG,4,37.3747429601041,0.26320679628848,10.1520746575244,3.68148819043632,0.0259264047170298
BE201907092COP6070,IEBWE00AC,Core2,60-70,BG,10,98.2438137721318,0.691869359629514,9.33526991248706,10.5239392854318,0.0741134821076845
BE201907092COP6070,IEBWE00AC,Core2,60-70,BG,16,91.1520707531401,0.641926676087249,8.15455764424456,11.1780521678542,0.0787199875324098
BE201907092COP6070,IEBWE00AC,Core2,60-70,BG,25,106.701100167354,0.75142870589062,10.4987132283814,10.1632550433806,0.0715734099545897
BE201907092COP6070,IEBWE00AC,Core2,60-70,BG,35,216.068288164605,1.52163299070843,9.18522130309038,23.5234711320357,0.165661004835722
BE201907092COP6070,IEBWE00AC,Core2,60-70,BG,50,303.96942488814,2.14066538410346,13.247124465293,22.9460684607086,0.161594721157179
BE201907092COP6070,IEBWE00AC,Core2,60-70,LAP,4,2.51262861688136,0.0176948622554556,96.0162707084955,0.0261687795031082,0.000184290247110065
BE201907092COP6070,IEBWE00AC,Core2,60-70,LAP,10,7.03628816480637,0.049552149899684,87.5515534139053,0.0803673708853787,0.000565976821284063
BE201907092COP6070,IEBWE00AC,Core2,60-70,LAP,16,6.31112553309779,0.0444452857994042,135.708479089721,0.0465050199916051,0.00032750559211573
BE201907092COP6070,IEBWE00AC,Core2,60-70,LAP,25,21.1771536185258,0.149137367028614,215.179133698895,0.0984163903557648,0.000693084707912737
BE201907092COP6070,IEBWE00AC,Core2,60-70,LAP,35,31.7716226805986,0.223747545971711,213.901831307671,0.148533663720247,0.00104602912749204
BE201907092COP6070,IEBWE00AC,Core2,60-70,LAP,50,39.3082931973006,0.276823573905883,152.931515442006,0.257031999478269,0.00181011463272172
BE201907092COP8090,IEBWE00AE,Core2,80-90,AP,4,91.3456314316472,0.865113013997572,4.63056882462479,19.7266545193935,0.186826510254422
BE201907092COP8090,IEBWE00AE,Core2,80-90,AP,10,196.191074074428,1.85807956824902,5.61123691958934,34.9639619367179,0.331135468859333
BE201907092COP8090,IEBWE00AE,Core2,80-90,AP,16,210.717505533817,1.9956559876738,5.76710745190257,36.5378150643442,0.346041062060571
BE201907092COP8090,IEBWE00AE,Core2,80-90,AP,25,243.019199840716,2.30157774530027,5.11069882290427,47.551070462535,0.450345016416433
BE201907092COP8090,IEBWE00AE,Core2,80-90,AP,35,416.798018551207,3.94739610866739,8.18962134628948,50.8934419465007,0.48199983146423
BE201907092COP8090,IEBWE00AE,Core2,80-90,AP,50,680.595734181672,6.44576229518302,7.38586411849211,92.1484234292442,0.872716068394037
BE201907092COP8090,IEBWE00AE,Core2,80-90,BG,4,26.2467285539427,0.248576599570264,13.0543376266967,2.01057528190989,0.01904168611833
BE201907092COP8090,IEBWE00AE,Core2,80-90,BG,10,54.7664141068772,0.518679840855803,13.1070041157635,4.17840824822896,0.0395727228186339
BE201907092COP8090,IEBWE00AE,Core2,80-90,BG,16,79.4199929407236,0.752168093731204,65.0818393248288,1.22030959426841,0.011557265460447
BE201907092COP8090,IEBWE00AE,Core2,80-90,BG,25,71.7382176239465,0.679415804508463,11.0988884365997,6.46354975398999,0.0612147611348195
BE201907092COP8090,IEBWE00AE,Core2,80-90,BG,35,144.709278769527,1.37050758035866,11.0672459884655,13.0754551692757,0.123834563882201
BE201907092COP8090,IEBWE00AE,Core2,80-90,BG,50,198.324680616241,1.87828645452419,14.3422235607818,13.8280288112752,0.130962012031404
BE201907092COP8090,IEBWE00AE,Core2,80-90,LAP,4,0.316085651894253,0.00299357294602801,29.1627045320973,0.0108386947289597,0.000102650731269907
BE201907092COP8090,IEBWE00AE,Core2,80-90,LAP,10,1.18593336672891,0.0112316962859779,36.2776131526462,0.032690501487483,0.000309604059085089
BE201907092COP8090,IEBWE00AE,Core2,80-90,LAP,16,2.0128016366526,0.019062771401025,111.168572765734,0.0181058512003584,0.000171476262821113
BE201907092COP8090,IEBWE00AE,Core2,80-90,LAP,25,9.85844572152071,0.0933670232260439,330.392411669961,0.0298385960854591,0.000282594333066314
BE201907092COP8090,IEBWE00AE,Core2,80-90,LAP,35,6.75377219090693,0.0639633896482566,106.444801339844,0.0634485865528023,0.000600906656249393
BE201907092COP8090,IEBWE00AE,Core2,80-90,LAP,50,11.5414300374646,0.109306172271899,120.55723314319,0.0957340321816808,0.000906674526463897
BE201907093COP0010,IEBWE00AF,Core3,00-10,AP,4,744.090672289631,3.66443004858542,49.6920541313587,14.9740373042874,0.0737427766398761
BE201907093COP0010,IEBWE00AF,Core3,00-10,AP,10,1557.65184484826,7.67098209675542,47.5720549861827,32.743001018154,0.161249752590748
BE201907093COP0010,IEBWE00AF,Core3,00-10,AP,16,2237.63085536716,11.0196808660675,60.6946789807693,36.8670020658012,0.181559257765561
BE201907093COP0010,IEBWE00AF,Core3,00-10,AP,25,2435.28460144161,11.9930680530106,98.6718464646936,24.6806428448969,0.121544984539252
BE201907093COP0010,IEBWE00AF,Core3,00-10,AP,35,4008.01203407736,19.738293032987,85.6819215909083,46.7778028276929,0.230367067713866
