Decimal.Year, year, day, B1.H.L4.10cm, B1.H.L4.40cm, B2.H.L29.10cm, B2.H.L29.40cm, B4.H.L54.10cm, B4.H.L54.40cm, B3.H.L40.10cm, B3.H.L40.40cm, B1.C.L7.10cm, B1.C.L7.40cm, B2.C.L25.10cm, B2.C.L25.40cm, B4.C.L57.10cm, B4.C.L57.40cm, B3.C.L43.10cm, B3.C.L43.40cm, B1.U.L6.10cm, B1.U.L6.40cm, B2.U.L27.10cm, B2.U.L27.40cm, B4.U.L56.10cm, B4.U.L56.40cm, B3.U.L42.10cm, B3.U.L42.40cm
2015.04109589041, 2015, 15, 11.78625, 12.8808333333333, 12.3329166666667, 14.389375, 11.7633333333333, 12.9020833333333, NA, 13.5285416666667, 7.94222916666667, 9.06125, 8.31227083333333, 9.58833333333333, 8.12427083333333, 9.3825, 8.321875, 9.408125, 8.04216666666667, 9.53270833333333, 8.13277083333333, 5.73545833333333, 7.91577083333333, 9.53583333333333, 8.18716666666667, 9.71625
2015.04383561644, 2015, 16, 13.6297916666667, 13.4310416666667, 14.0175, 14.998125, 13.43875, 13.3895833333333, NA, 14.07875, 9.986875, 9.57229166666667, 9.938125, 9.90645833333333, 9.98270833333333, 9.79208333333333, 9.82125, 9.73645833333333, 10.23125, 10.0045833333333, 10.431875, 6.28191666666667, 10.3379166666667, 10.04, 10.51625, 10.1522916666667
2015.04657534247, 2015, 17, 15.5570833333333, 14.4345833333333, 16.024375, 16.004375, 15.2972916666667, 14.3170833333333, NA, 15.053125, 11.9954166666667, 10.6541666666667, 11.6552083333333, 10.7675, 11.9822916666667, 10.8197916666667, 11.4454166666667, 10.6033333333333, 12.2572916666667, 11.0370833333333, 12.56, 7.36433333333333, 12.4508333333333, 11.04125, 12.5295833333333, 11.0983333333333
2015.04931506849, 2015, 18, 16.5229166666667, 15.5879166666667, 16.91, 17.0602083333333, 16.2125, 15.415, NA, 16.1916666666667, 12.8660416666667, 11.805625, 12.5825, 11.8022916666667, 12.8910416666667, 11.97125, 12.468125, 11.649375, 13.060625, 12.2179166666667, 13.353125, 8.48, 13.1264583333333, 12.1779166666667, 13.211875, 12.216875
2015.05205479452, 2015, 19, 15.5158333333333, 15.98125, 16.1208333333333, 17.38, 15.686875, 15.890625, NA, 16.6225, 11.774375, 12.195625, 12.0458333333333, 12.30375, 12.2085416666667, 12.42125, 12.0185416666667, 12.1885416666667, 11.648125, 12.6483333333333, 12.0220833333333, 8.78916666666667, 11.6629166666667, 12.6041666666667, 11.6564583333333, 12.6858333333333
2015.05479452055, 2015, 20, 13.9091666666667, 15.2585416666667, 14.525625, 16.7675, 14.1210416666667, 15.3779166666667, NA, 16.0354166666667, 10.1935416666667, 11.43875, 10.6289583333333, 11.8785416666667, 10.5654166666667, 11.83375, 10.6214583333333, 11.77875, 9.95416666666667, 11.8785416666667, 10.2154166666667, 8.01916666666667, 9.77625, 11.9466666666667, 9.77104166666667, 12.1066666666667
2015.05753424658, 2015, 21, 13.2102083333333, 14.6204166666667, 13.7902083333333, 16.1414583333333, 13.3470833333333, 14.7364583333333, NA, 15.3702083333333, 9.52958333333333, 10.7972916666667, 9.91041666666667, 11.3145833333333, 9.79645833333333, 11.1658333333333, 9.83145833333333, 11.1725, 9.2943125, 11.213125, 9.451875, 7.34008333333333, 9.037375, 11.280625, 9.02835416666667, 11.463125
2015.0602739726, 2015, 22, 13.5285416666667, 14.3947916666667, 14.2045833333333, 15.9397916666667, 13.6552083333333, 14.4560416666667, NA, 15.1185416666667, 9.88166666666667, 10.5577083333333, 10.1877083333333, 11.040625, 10.1654166666667, 10.8885416666667, 9.97291666666667, 10.8625, 9.725, 10.9714583333333, 9.88333333333333, 7.10004166666667, 9.605625, 11.0208333333333, 9.56520833333333, 11.1916666666667
2015.06301369863, 2015, 23, 13.756875, 14.3983333333333, 14.3270833333333, 15.8754166666667, 13.7508333333333, 14.4345833333333, NA, 15.114375, 10.091875, 10.505, 10.2983333333333, 10.9858333333333, 10.3520833333333, 10.8797916666667, 10.0235416666667, 10.7952083333333, 10.0548125, 10.9995833333333, 10.1293333333333, 7.07770833333333, 9.85379166666667, 11.0475, 9.76764583333333, 11.2175
2015.06575342466, 2015, 24, 14.503125, 14.6816666666667, 14.9825, 16.0422916666667, 14.3460416666667, 14.6410416666667, NA, 15.3491666666667, 10.8972916666667, 10.7252083333333, 10.91875, 11.1233333333333, 11.0379166666667, 11.0610416666667, 10.5320833333333, 10.9, 10.991875, 11.3214583333333, 10.945625, 7.2865625, 10.7102083333333, 11.3183333333333, 10.564375, 11.47
