,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Incubation Experimemt Conditions and results, supporting Fig 4a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Summary of BH Samples,,,,,,,,Summary of TT05 Samples,,,,,,,,,Summary of TT02 Samples,,,,,,,,Summary of TT03 Samples,,,,,,,,,,,,,
,Non-Sterilized samples,,,,,,,,Non-Sterilized samples,,,,,,,,,Non-Sterilized samples,,,,,,,,Non-Sterilized samples,,,,,,,,,,,,,
,BH samples,,,,Summer_2,,,,TT05 samples,,,,,Summer_2,,,,TT02 samples,,,,,,,,TT03 samples,,,,,,,,,,,,,
,Summer,"Depth, m",µgC-CO2/g soil/day,R (n=4),µgC-CO2/g soil/day,R (n=3),Note,,Summer,,µgC-CO2/g soil/day,,R (n=4),µgC-CO2/g soil/day,R (n=3),Note,,Summer,,µgC-CO2/g soil/day,R (n=4),µgC-CO2/g soil/day,R (n=3),Note,,Summer,,µgC-CO2/g soil/day,R (n=4),µgC-CO2/g soil/day,,,,,,,,,
,VZ1-7˚C,-1.52,0.138,0.994,,,,,VZ1-7˚C,-1.52,0.059,0.006,0.969,,,,,VZ1-7˚C,-1.11,0.072,0.995,,,,,VZ1-7˚C,-1.11,0.070,0.984,,,,,,,,,,
,VZ2-7˚C,-2.14,0.092,0.989,,,,,VZ2-7˚C,-2.14,0.088,0.009,0.997,,,,,VZ2-7˚C,-1.98,0.091,0.987,,,,,VZ2-7˚C,-1.98,0.073,0.992,,Use  < 4.75 mm fraction,,,,,,,,
,WT-10˚C,-3.05,0.090,0.995,,,,,WT-10˚C,-2.74,0.162,0.016,0.992,,,,,WT1-10˚C,-2.9,0.077,0.965,,,,,WT1-10˚C,-2.9,0.074,0.965,,,,,,,,,,
,GW-10˚C,-3.96,0.047,0.981,,,,,GW-10˚C,-3.96,0.074,0.007,0.997,,,,,WT2-10˚C,-3.2,0.042,0.959,,,,,WT2-10˚C,-3.2,0.106,0.996,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring,,µgC-CO2/g soil/day,R (n=4),,,,,Spring,,µgC-CO2/g soil/day,,R (n=4),,,,,Spring,,µgC-CO2/g soil/day,R (n=4),,,,,Spring,,µgC-CO2/g soil/day,R (n=4),,Well ID,Depth (ft),Sand % ,Silt % ,Clay %,Sum of silt/clay,,"clay, g/kg ","silt, g/kg"
,SF-15˚C,-0.61,0.629,0.998,,,,,SF-15˚C,-0.3,0.147,0.015,0.999,,,,,SF-15˚C,-0.15,0.147,0.999,,,,,SF-15˚C,-0.15,0.210,0.998,,TT-01,-0.5,49.06893149,29.11483584,21.81623267,50.93106851,,,
,VZ1-13˚C,-1.52,0.337,0.997,,,,,VZ1-13˚C,-1.52,0.238,0.024,1.000,,,,,VZ1-13˚C,-1.11,0.191,0.996,,,,,VZ1-13˚C,-1.11,0.235,0.991,,TT-01,-1.5,47.0369878,34.7331108,18.2299014,52.9630122,,,
,VZ2-13˚C,-2.14,0.329,0.995,,,,,VZ2-13˚C,-2.14,0.255,0.026,0.990,,,,,VZ2-13˚C,-1.98,0.188,0.999,,,,,VZ2-13˚C,-1.98,0.223,1.000,,TT-01,-2.5,36.67552919,40.08428552,23.24018529,63.32447081,,,
,WT-11˚C,-3.05,0.220,0.998,,,,,WT-11˚C,-2.74,0.233,0.023,0.995,,,,,WT1-11˚C,-2.9,0.142,0.998,,,,,WT1-11˚C,-2.9,0.153,1.000,,TT-01,-3.5,43.58660054,38.9086592,17.50474027,56.41339946,,,
,GW-11˚C,-3.96,0.075,0.972,,,,,GW-11˚C,-3.96,0.103,0.010,0.956,,,,,WT2-11˚C,-3.2,0.110,1.000,,,,,WT2-11˚C,-3.2,0.223,1.000,,TT-01,-4.5,53.92805705,32.12244323,13.94949972,46.07194295,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT-01,-5.5,53.92805705,29.25595412,16.81598883,46.07194295,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT-01,-6.5,46.17831289,36.07419773,17.74748938,53.82168711,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT-01,-7.5,46.96797064,38.0855057,14.94652366,53.03202936,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT-01,-8.5,67.67434432,24.43740298,7.888252707,32.32565568,,,
,Sterilized samples,,,,,,,,Sterilized samples,,,,,,,,,,,,,,,,,,,,,,TT-01,-9.5,50.76924654,37.15263544,12.07811802,49.23075346,,,
,BH samples,,,,,,,,TT05 samples,,,,,,,,,,,,,,,,,,,,,,TT-01,-10.5,46.96797064,36.43078955,16.60123981,53.03202936,,,
,Summer,,"Equlibrium CO2, ppm",Stdev,,,Note,,Summer,,"Equlibrium CO2, ppm",,Stdev,,,Note,,,,,,,,,,,,,,,,,,,,,,,
,BH-SF-25˚C,,1786,118,,,,,5-SF-25˚C,,1186,,52,,,,,,,,,,,,,,,,,,TT02,-0.5,40.08960575,38.81721686,21.0931774,59.91039425,,,
