date,,PH_discharge_ISPOC,,
8/16/15 12:00,8/16,1.220333452,,
8/17/15 12:00,8/17,1.26527925,,
8/18/15 12:00,8/18,1.375660856,,
8/19/15 12:00,8/19,1.195940579,,
8/20/15 12:00,8/20,1.125006633,,
8/21/15 12:00,8/21,1.067864707,,
8/22/15 12:00,8/22,1.047949332,,
8/23/15 12:00,8/23,1.057849821,,
8/24/15 12:00,8/24,0.975465121,,
8/25/15 12:00,8/25,0.972973113,,
8/26/15 12:00,8/26,1.176869061,,
8/27/15 12:00,8/27,2.003211964,,
8/28/15 12:00,8/28,1.728695505,,
8/29/15 12:00,8/29,1.355380871,,
8/30/15 12:00,8/30,1.204643702,,
8/31/15 12:00,8/31,1.213386524,,
9/1/15 12:00,9/1,1.137898652,,
9/2/15 12:00,9/2,1.419219033,,
9/3/15 12:00,9/3,1.652407882,,
9/4/15 12:00,9/4,1.737862848,,
9/5/15 12:00,9/5,2.334789318,,
9/6/15 12:00,9/6,2.187746787,,
9/7/15 12:00,9/7,2.087623374,,
9/8/15 12:00,9/8,1.989974564,,
9/9/15 12:00,9/9,1.851720246,,
9/10/15 12:00,9/10,1.727333237,,
9/11/15 12:00,9/11,1.775365062,,
9/12/15 12:00,9/12,1.660671669,,
9/13/15 12:00,9/13,1.271988805,,
9/14/15 12:00,9/14,1.107773118,,
9/15/15 12:00,9/15,1.636281154,,
9/16/15 12:00,9/16,1.574630569,,
9/17/15 12:00,9/17,1.382722161,,
9/18/15 12:00,9/18,1.358679614,,
9/19/15 12:00,9/19,1.39696914,,
9/20/15 12:00,9/20,1.483817647,,
9/21/15 12:00,9/21,1.393435701,,
9/22/15 12:00,9/22,1.067262642,,
9/23/15 12:00,9/23,1.125622118,,
9/24/15 12:00,9/24,1.358981993,,
9/25/15 12:00,9/25,1.386783191,,
9/26/15 12:00,9/26,1.216329359,,
9/27/15 12:00,9/27,1.068494039,,
9/28/15 12:00,9/28,1.043624198,,
9/29/15 12:00,9/29,1.081419197,,
9/30/15 12:00,9/30,1.125546521,**,
10/1/15 12:00,10/1,1.125940633,,
10/2/15 12:00,10/2,0.823587867,,
10/3/15 12:00,10/3,0.636000163,,
10/4/15 12:00,10/4,0.772071371,,
10/5/15 12:00,10/5,0.933593617,,
10/6/15 12:00,10/6,1.122711009,,
10/7/15 12:00,10/7,1.067831056,,
10/8/15 12:00,10/8,1.119894332,,
10/9/15 12:00,10/9,1.249529878,,
10/10/15 12:00,10/10,1.177269192,,
10/11/15 12:00,10/11,0.996334538,,
10/12/15 12:00,10/12,1.064213033,,
10/13/15 12:00,10/13,1.130542778,,
10/14/15 12:00,10/14,1.098428672,,
10/15/15 12:00,10/15,1.055502343,,
10/16/15 12:00,10/16,1.115443358,,
10/17/15 12:00,10/17,1.019670717,,
10/18/15 12:00,10/18,0.952809004,,
10/19/15 12:00,10/19,0.898364012,,
10/20/15 12:00,10/20,0.837995213,,
10/21/15 12:00,10/21,0.700719109,,
10/22/15 12:00,10/22,0.736663449,,
10/23/15 12:00,10/23,0.753245136,,
10/24/15 12:00,10/24,0.704831191,,
10/25/15 12:00,10/25,0.67056262,,
10/26/15 12:00,10/26,0.68743442,,
10/27/15 12:00,10/27,0.67823468,,
10/28/15 12:00,10/28,0.652120822,,
10/29/15 12:00,10/29,0.672666009,,
10/30/15 12:00,10/30,0.663604362,,
10/31/15 12:00,10/31,0.622740613,,
11/1/15 12:00,11/1,0.611230951,,
11/2/15 12:00,11/2,0.60348845,,
11/3/15 12:00,11/3,0.600936181,,
11/4/15 12:00,11/4,0.628387385,,
11/5/15 12:00,11/5,0.517201262,,
11/6/15 12:00,11/6,0.529672496,,
11/7/15 12:00,11/7,0.543441479,,
11/8/15 12:00,11/8,0.509859645,,
11/9/15 12:00,11/9,0.554775754,,
11/10/15 12:00,11/10,0.574025514,,
11/11/15 12:00,11/11,0.638191383,,
11/12/15 12:00,11/12,0.484193298,,
11/13/15 12:00,11/13,0.522692819,,
11/14/15 12:00,11/14,0.529109406,,
11/15/15 12:00,11/15,0.567608927,,
11/16/15 12:00,11/16,0.663857731,,
11/17/15 12:00,11/17,0.651024557,,
11/18/15 12:00,11/18,0.580442101,,
11/19/15 12:00,11/19,0.599691862,,
11/20/15 12:00,11/20,0.612525036,,
11/21/15 12:00,11/21,0.445693777,,
11/22/15 12:00,11/22,0.484193298,,
11/23/15 12:00,11/23,0.548359167,,
11/24/15 12:00,11/24,0.54194258,,
11/25/15 12:00,11/25,0.567608927,,
11/26/15 12:00,11/26,0.625358209,,
11/27/15 12:00,11/27,0.554775754,,
11/28/15 12:00,11/28,0.567608927,,
11/29/15 12:00,11/29,0.484193298,,
11/30/15 12:00,11/30,0.490609885,,
12/1/15 12:00,12/1,0.43927719,,
12/2/15 12:00,12/2,0.43927719,,
12/3/15 12:00,12/3,0.484193298,,
12/4/15 12:00,12/4,0.484193298,,
12/5/15 12:00,12/5,0.509859645,,
12/6/15 12:00,12/6,0.375111321,,
12/7/15 12:00,12/7,0.464943537,,
12/8/15 12:00,12/8,0.497026472,,
12/9/15 12:00,12/9,0.464943537,,
12/10/15 12:00,12/10,0.477776711,,
12/11/15 12:00,12/11,0.490609885,,
12/12/15 12:00,12/12,0.497026472,,
12/13/15 12:00,12/13,0.426444016,,
12/14/15 12:00,12/14,0.381527908,,
12/15/15 12:00,12/15,0.413610842,,
12/16/15 12:00,12/16,0.349444973,,
12/17/15 12:00,12/17,0.349444973,,
12/18/15 12:00,12/18,0.375111321,,
12/19/15 12:00,12/19,0.394361082,,
12/20/15 12:00,12/20,0.432860603,,
12/21/15 12:00,12/21,0.420027429,,
12/22/15 12:00,12/22,0.432860603,,
12/23/15 12:00,12/23,0.394361082,,
12/24/15 12:00,12/24,0.298112278,,
12/25/15 12:00,12/25,0.368694734,,
12/26/15 12:00,12/26,0.35586156,,
12/27/15 12:00,12/27,0.240362996,,
12/28/15 12:00,12/28,0.298112278,,
12/29/15 12:00,12/29,0.375111321,,
12/30/15 12:00,12/30,0.362278147,,
12/31/15 12:00,12/31,0.330195213,,
1/1/16 12:00,1/1,0.285279105,,
1/2/16 12:00,1/2,0.291695692,,
1/3/16 12:00,1/3,0.349444973,,
1/4/16 12:00,1/4,0.362278147,,
1/5/16 12:00,1/5,0.368694734,,
1/6/16 12:00,1/6,0.375111321,,
1/7/16 12:00,1/7,0.381527908,,
1/8/16 12:00,1/8,0.343028387,,
1/9/16 12:00,1/9,0.35586156,,
1/10/16 12:00,1/10,0.323778626,,
1/11/16 12:00,1/11,0.272445931,,
1/12/16 12:00,1/12,0.266029344,,
1/13/16 12:00,1/13,0.304528865,,
1/14/16 12:00,1/14,0.323778626,,
1/15/16 12:00,1/15,0.343028387,,
1/16/16 12:00,1/16,0.3366118,,
1/17/16 12:00,1/17,0.3366118,,
1/18/16 12:00,1/18,0.323778626,,
1/19/16 12:00,1/19,0.330195213,,
1/20/16 12:00,1/20,0.323778626,,
1/21/16 12:00,1/21,0.298112278,,
1/22/16 12:00,1/22,0.272445931,,
1/23/16 12:00,1/23,0.317362039,,
1/24/16 12:00,1/24,0.330195213,,
1/25/16 12:00,1/25,0.317362039,,
1/26/16 12:00,1/26,0.25319617,,
1/27/16 12:00,1/27,0.266029344,,
1/28/16 12:00,1/28,0.304528865,,
1/29/16 12:00,1/29,0.330195213,,
1/30/16 12:00,1/30,0.317362039,,
1/31/16 12:00,1/31,0.323778626,,
2/1/16 12:00,2/1,0.310945452,,
2/2/16 12:00,2/2,0.310945452,,
2/3/16 12:00,2/3,0.285279105,,
2/4/16 12:00,2/4,0.240362996,,
2/5/16 12:00,2/5,0.323778626,,
2/6/16 12:00,2/6,0.291695692,,
2/7/16 12:00,2/7,0.317362039,,
2/8/16 12:00,2/8,0.304528865,,
2/9/16 12:00,2/9,0.304528865,,
2/10/16 12:00,2/10,0.310945452,,
2/11/16 12:00,2/11,0.317362039,,
2/12/16 12:00,2/12,0.323778626,,
2/13/16 12:00,2/13,0.330195213,,
2/14/16 12:00,2/14,0.323778626,,
2/15/16 12:00,2/15,0.323778626,,
2/16/16 12:00,2/16,0.323778626,,
2/17/16 12:00,2/17,0.317362039,,
2/18/16 12:00,2/18,0.323778626,,
2/19/16 12:00,2/19,0.330195213,,
2/20/16 12:00,2/20,0.3366118,,
2/21/16 12:00,2/21,0.3366118,,
2/22/16 12:00,2/22,0.343028387,,
2/23/16 12:00,2/23,0.349444973,,
