SampleSiteCode,FieldPointName,Northing,Easting,Elevation,Code,EPSG,,,
078-ER18,078-C,4310527.679,328991.69,3039.782,CP-PLOT,26913,,,
078-ER18,078-D,4310527.707,328992.588,3039.539,CP-PLOT,26913,,,
079-ER18,079-A,4310526.634,328999.841,3037.94,CP-PLOT,26913,,,
079-ER18,079-B,4310526.528,328998.951,3038.176,CP-PLOT,26913,,,
079-ER18,079-C,4310527.47,328998.808,3038.122,CP-PLOT,26913,,,
079-ER18,079-D,4310527.574,328999.909,3037.788,CP-PLOT,26913,,,
080-ER18,080-A,4310552.365,329033.711,3030.338,CP-PLOT,26913,,,
080-ER18,080-B,4310552.37,329032.668,3030.464,CP-PLOT,26913,,,
080-ER18,080-C,4310553.324,329032.82,3030.409,CP-PLOT,26913,,,
080-ER18,080-D,4310553.237,329033.73,3030.203,CP-PLOT,26913,,,
081-ER18,081-A,4310529.797,329002.917,3037.055,CP-PLOT,26913,,,
081-ER18,081-B,4310529.916,329001.867,3037.259,CP-PLOT,26913,,,
081-ER18,081-C,4310530.996,329001.909,3037.134,CP-PLOT,26913,,,
081-ER18,081-D,4310531.023,329001.811,3037.173,CP-PLOT,26913,,,
082-ER18,082-A,4310558.357,329012.168,3033.607,CP-PLOT,26913,,,
082-ER18,082-B,4310558.566,329011.168,3033.728,CP-PLOT,26913,,,
082-ER18,082-C,4310559.596,329011.373,3033.597,CP-PLOT,26913,,,
082-ER18,082-D,4310559.395,329012.345,3033.477,CP-PLOT,26913,,,
083-ER18,083-A,4310532.512,329005.597,3036.521,CP-PLOT,26913,,,
083-ER18,083-B,4310532.464,329004.561,3036.674,CP-PLOT,26913,,,
083-ER18,083-C,4310533.476,329004.598,3036.611,CP-PLOT,26913,,,
083-ER18,083-D,4310533.42,329005.671,3036.47,CP-PLOT,26913,,,
084-ER18,084-B,4310585.86,329021.979,3029.138,CP-PLOT,26913,,,
084-ER18,084-C,4310586.805,329022.38,3028.96,CP-PLOT,26913,,,
084-ER18,084-D,4310586.448,329023.329,3028.905,CP-PLOT,26913,,,
085-ER18,L085,4310616.798,328483.36,3151.929,CP-PLOT,26913,,,
