Lab-ID,Plot,Treatment,Block,Sampling Depth (cm),Target depth (cm),Mid depth (cm),Type of Material,BPCA [mgBPCA-C/gsoil],hemimellitic acid relative abundance [%],trimellitic acid relative abundance [%],pyromellitic acid relative abundance [%],mellophanic acid relative abundance [%],prehnitic acid relative abundance [%],B5CA relative abundance [%],mellitic acid relative abundance [%],Lignin [ug/gsoil],Vanillin [ug/gsoil],Acetovanillone [ug/gsoil],Syringaldehyde [ug/gsoil],Vanillic acid [ug/gsoil],Acetosyringone [ug/gsoil],Syringic acid [ug/gsoil],p-Coumaric acid [ug/gsoil],Ferulic acid [ug/gsoil],Hydrolyzable lipids [ug/gsoil],"﻿α,ω-C16 DA","﻿α,ω-C18 DA","﻿α,ω-C20 DA","﻿α,ω-C22 DA",ω-OH C14,ω-OH C16,ω-OH C18,ω-OH C20,ω-OH C22,ω-OH C24,"x,ω-diOH-C16","mix of: 9/10,ω-diOH-C16; ω-OH C18:1",x-OH-C16 DA,"x,ω-diOH-C18:1","9/10,ω-diOH-C18:1","9,10,ω-triOH-C18"
176B18NO30,2C,Control,2,29-40.5,30-40,35,Soil,1.19,2.40,5.86,8.02,11.07,6.32,34.42,31.91,248.84,121.19,28.13,1.12,51.10,0.00,8.52,20.61,18.17,214.89,7.69,6.00,10.15,13.29,2.91,15.70,7.50,23.12,40.34,8.12,0.52,54.35,9.88,1.72,2.47,11.13
176B18NO31,2C,Control,2,40.5-50.5,40-50,45,Soil,0.43,2.19,5.29,7.05,11.08,6.05,35.06,33.29,97.81,39.00,10.76,1.22,28.08,0.00,6.36,6.15,6.23,71.90,4.16,2.26,3.76,5.57,1.26,9.37,3.36,7.98,15.98,2.26,0.14,9.76,2.69,0.85,1.57,0.90
176B18NO32,2C,Control,2,50.5-62,50-60,55,Soil,0.34,1.98,4.62,6.65,11.85,5.42,34.46,35.02,69.51,25.52,8.97,1.62,19.51,0.00,4.63,2.69,6.56,65.43,3.61,2.44,3.09,5.01,0.26,7.58,3.92,7.84,15.15,2.06,0.24,11.90,0.96,0.21,0.91,0.27
176B18NO33,2C,Control,2,62-70.5,60-70,65,Soil,0.23,1.95,5.13,5.76,11.54,5.63,34.66,35.33,34.32,15.26,4.13,0.61,9.09,0.00,2.12,1.24,1.87,22.81,1.29,0.64,1.27,1.84,0.10,2.85,1.18,3.31,6.31,0.69,0.04,2.14,0.19,0.17,0.50,0.29
176B18NO34,2C,Control,2,70.5-80,70-80,75,Soil,0.24,2.21,4.37,6.47,12.05,5.78,34.49,34.62,35.74,14.21,3.94,2.82,7.65,0.00,3.42,0.89,2.81,25.69,1.20,0.76,1.33,2.08,0.22,2.35,1.21,3.71,6.48,0.89,0.06,3.27,0.47,0.20,0.47,1.00
176B18NO35,2C,Control,2,80-89.5,80-90,85,Soil,0.29,2.71,5.20,8.44,13.25,6.24,35.38,28.77,65.30,24.64,8.77,2.83,22.81,0.00,3.18,0.97,2.10,29.75,1.94,0.86,1.42,1.92,0.11,4.39,1.84,5.01,6.76,0.51,0.09,3.44,0.17,0.32,0.47,0.49
176B18NO39,2H,Warmed,2,0-9,0-10,5,Soil,8.04,3.50,7.32,9.90,12.50,7.81,35.62,23.35,954.44,409.90,127.33,13.08,299.25,0.00,26.31,55.71,22.86,317.31,20.97,9.92,9.10,9.41,21.45,44.34,9.85,19.32,25.82,5.35,NA,109.39,27.11,1.74,2.06,1.48
176B18NO40,2H,Warmed,2,9-19,10-20,15,Soil,4.67,2.85,5.86,9.44,11.69,7.07,35.90,27.18,602.54,230.20,82.08,10.80,161.04,0.00,25.36,64.05,29.02,382.80,20.93,11.08,12.27,16.69,18.86,41.38,12.13,29.20,44.49,11.37,0.81,125.27,31.76,1.88,2.20,2.47
176B18NO41,2H,Warmed,2,19-30,20-30,25,Soil,1.38,2.28,5.90,7.51,10.18,6.46,36.56,31.10,262.86,99.78,33.79,5.73,62.47,0.00,12.65,26.45,21.98,267.36,12.34,7.60,10.46,15.60,8.19,27.96,11.83,23.71,38.24,8.03,0.29,79.47,14.55,1.36,2.45,5.27
176B18NO42,2H,Warmed,2,30-39,30-40,35,Soil,0.56,2.05,5.32,7.23,11.00,5.65,33.65,35.10,98.40,35.63,11.43,2.10,24.30,0.00,5.64,6.39,12.92,143.83,4.74,4.64,6.35,10.96,0.95,10.05,7.00,16.11,30.31,7.02,0.27,31.56,3.04,1.17,2.69,6.96
176B18NO43,2H,Warmed,2,39-50,40-50,45,Soil,0.35,2.27,6.87,8.37,11.15,5.93,34.08,31.33,83.98,32.16,9.11,1.58,22.52,0.00,6.61,3.30,8.70,98.54,4.42,2.99,4.40,6.58,0.36,10.57,4.43,9.48,19.44,3.82,0.30,16.18,3.10,2.34,4.33,5.79
176B18NO44,2H,Warmed,2,50-59.5,50-60,55,Soil,0.17,2.21,6.12,6.82,11.91,5.83,33.85,33.26,19.31,6.87,1.56,1.46,5.33,0.00,2.21,0.48,1.41,16.52,0.84,0.67,0.99,1.29,0.09,1.78,1.12,2.18,3.16,0.57,0.05,2.86,0.14,0.15,0.46,0.15
176B18NO45,2H,Warmed,2,59.5-68.5,60-70,65,Soil,0.12,2.12,6.06,6.18,10.82,6.18,35.00,33.63,16.18,6.67,1.13,0.96,4.02,0.00,1.69,0.36,1.34,10.92,0.65,0.56,0.72,1.09,0.05,1.28,0.85,1.78,2.29,0.33,0.03,1.09,NA,NA,0.17,0.04
176B18NO46,2H,Warmed,2,68.5-80,70-80,75,Soil,0.10,2.32,6.49,6.52,12.66,6.09,33.75,32.17,15.92,4.55,2.94,1.24,4.25,0.00,1.88,0.22,0.83,7.60,0.40,0.29,0.40,0.76,0.06,0.74,0.47,1.03,1.85,0.51,0.07,0.58,0.07,0.05,0.15,0.16
176B18NO47,2H,Warmed,2,80-88.5,80-90,85,Soil,0.07,1.72,7.58,5.54,11.18,5.59,34.02,34.38,22.56,6.74,1.70,1.19,4.49,0.00,2.48,3.37,2.59,17.71,0.88,0.79,1.05,1.60,0.03,1.98,1.17,2.63,3.65,0.66,0.06,2.41,NA,0.20,0.24,0.36
176B18NO50,3C,Control,3,0-8,0-8,5,Soil,7.30,3.34,6.46,10.56,11.97,7.46,36.59,23.63,2039.66,869.85,272.99,66.77,548.59,0.00,71.36,152.92,57.18,750.13,62.25,14.76,13.28,9.32,84.70,111.05,11.85,27.91,19.88,4.54,NA,320.37,67.81,NA,NA,2.41
