date.m,Almont,Billy_Barr,Castnet,Judd_Falls,KCOCREST10,KCOCREST4,KCOCREST6,KCOMTCRE2,Kettle_Ponds,Mexican_Cut,MRMEX,MTAPC2,NRCS_1141,NRCS_380,NRCS_680,NRCS_737,Snodgrass
mm-YY,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month
Jan-84,23.9502796,22.30483925,22.3067763,22.41418233,20.91492376,21.54659248,22.21887939,23.72947243,21.53939515,21.36232577,22.51736374,22.59321141,19.29507273,23.29282298,21.6943544,21.58917331,23.96897899
Feb-84,39.48035341,36.61106815,36.61129259,36.74246245,35.14866196,35.90071052,37.05966027,36.96724702,36.46494444,37.12010918,38.21239681,35.46093534,36.10161209,36.43446874,34.73743699,37.25135941,37.14606748
Mar-84,56.2569476,53.10486127,53.10030583,53.42354685,53.72292008,55.65667909,55.58559763,54.64337267,52.90476102,51.95107578,54.49195646,51.16703516,50.01899189,53.28506154,51.37835739,53.50214014,54.6391973
Apr-84,82.79766367,77.85683984,77.84869544,78.2339771,81.20654926,83.580379,81.4387646,81.50493279,77.32145094,75.3316435,78.49832104,74.58842143,71.89941533,79.85362568,76.67616868,76.83686854,81.63799118
May-84,142.1567427,130.6374417,130.6256933,131.0892492,136.6085143,139.3586185,135.1087818,136.2604957,129.4927207,125.7578981,131.8221083,128.0932701,120.1191297,134.3204156,132.1136853,127.82747,136.1236092
Jun-84,154.2008346,143.2734187,143.2590803,143.766232,149.4861251,152.504394,149.2029263,149.6499289,141.8792874,137.7171819,142.5322506,146.6676608,136.8020967,147.5233579,150.4266423,139.9868909,149.2153809
Jul-84,161.2234749,153.3549511,153.3394916,153.9117161,159.0219308,162.3640243,158.9439756,159.3751905,151.9210096,148.073107,152.8403246,154.7057371,145.8061486,156.9877253,157.4477065,150.8953282,159.1885973
Aug-84,142.2762276,135.3830922,135.3710051,135.9278812,140.8522496,144.1186382,140.9505137,141.2319899,134.4981345,130.5167848,135.1647173,134.5372,128.1790143,138.9028912,136.8031862,132.9414987,140.8957652
Sep-84,117.0814485,106.60821,106.6043025,106.9450945,112.9527247,114.7992157,111.4179459,112.3297507,105.4287437,102.3049009,106.0709435,109.2055049,100.3922723,110.9885032,112.0998549,103.996428,111.1383428
Oct-84,62.11879876,56.45825549,56.45645032,56.74101064,60.9327787,62.60973442,59.80267811,60.80602893,55.75271422,52.5128438,54.70405485,56.84368389,51.86217545,59.62596721,58.6693017,53.9326319,60.5661221
Nov-84,44.27347179,38.81729648,38.81948808,38.92385183,40.82747498,41.41675366,39.95533377,40.30528966,37.9319913,37.77714818,39.13120436,36.41966045,36.70481087,39.88370437,37.7116779,38.22885346,39.95018881
Dec-84,28.69373973,25.18695229,25.18981077,25.26784659,27.40906267,27.7666672,26.24649093,27.30765782,24.39973772,23.27396019,24.30271744,28.16886288,22.38496073,27.03992425,28.65600114,23.84487049,26.93184715
Jan-85,25.4016696,22.74586659,22.7475611,22.86006673,24.13561201,24.73470441,23.68354969,24.9707481,21.8850164,21.2665425,22.47349446,26.28918492,20.17257502,24.54628738,26.4263831,21.85424201,24.57122913
Feb-85,33.06919036,30.00084433,30.00049704,30.14698904,33.26597792,34.10006815,32.4053875,32.86017389,29.21575547,27.96134999,29.46431977,31.28370196,27.41947224,32.26784257,30.95171517,28.82342815,32.24465505
Mar-85,63.73600024,58.53070578,58.52741899,58.80542683,61.39749494,63.04304233,61.67341825,61.76218038,57.01827643,55.84142442,58.69499562,58.73064973,54.1308226,60.6063973,59.29855722,57.13017657,61.25540829
