"Date","AirT","SR","sn","P","SoilT","CLM_ET"
2015-02-03,-7.19122333351753,276.083669645692,3,0,0.192607714285727,0.587184
2015-02-04,-6.8375353534071,278.058288866224,3,0,0.181765285714298,0.421159
2015-02-05,-6.54540345674666,280.128195885936,5,5,0.172030142857155,0.860291
2015-02-06,-6.32016613781257,282.419125427873,0,0,0.169148428571441,0.653939
2015-02-07,-6.16205012354896,285.034939255866,0,0,0.170988142857155,0.748384
2015-02-08,-6.06643590745175,288.041862171084,0,0,0.179358714285727,0.550326
2015-02-09,-6.02446285656685,291.456221279056,0,0,0.218425571428584,0.802253
2015-02-10,-6.02390506256346,295.23725880564,0,0,0.293211142857155,0.733029
2015-02-11,-6.05023886712274,299.286021831954,0,0,0.381694714285727,0.595651
2015-02-12,-6.08781918800955,303.450921311695,0,0,0.45995485714287,0.633635
2015-02-13,-6.12107918258698,307.539887812261,0,0,0.521748571428584,0.687243
2015-02-14,-6.1356676678245,311.338132345891,0,0,0.581964142857155,0.794208
2015-02-15,-6.11944035758678,314.629731156377,0,0,0.644769285714298,0.827654
2015-02-16,-6.06323186301528,317.221004724561,0,0,0.67629385714287,0.55667
2015-02-17,-5.96135089609205,318.963583542856,0,0,0.637793714285727,0.45742
2015-02-18,-5.81175960305101,319.774927758009,0,0,0.556582142857155,0.612084
2015-02-19,-5.61592728873026,319.653857004656,0,0,0.477367285714298,0.49196
2015-02-20,-5.37838742643244,318.688979966526,0,0,0.416611142857155,0.662462
2015-02-21,-5.10606781074109,317.05872189319,4,0,0.353596714285727,0.775791
2015-02-22,-4.80749339210238,315.022454850196,12,0,0.277093571428584,1.179886
2015-02-23,-4.49197217983503,312.9028876353,15,0,0.199400142857155,0.886107
2015-02-24,-4.16886990424415,311.060740934511,0,0,0.153449428571441,0.184269
2015-02-25,-3.8470609702869,309.863784558344,0,0,0.135073428571441,0.572496
2015-02-26,-3.53460807109501,309.653481038264,3,0,0.122099000000012,0.57462
2015-02-27,-3.23867462455082,310.712833933285,4,0,0.103605285714298,0.532476
2015-02-28,-2.96562048963792,313.238767994149,8,0,0.0863934285714408,0.916203
2015-03-01,-2.72119650914963,317.321944558762,16,0,0.0752240000000122,1.184479
2015-03-02,-2.51074400238859,322.936335639093,13,0,0.0695827142857265,0.666988
2015-03-03,-2.33931591294915,329.939828575921,8,0,0.0728785714285837,0.890319
2015-03-04,-2.21166135780616,338.085711703543,6,0,0.0833461428571551,0.577949
2015-03-05,-2.13204877199692,347.043265758128,0,0,0.0945635714285837,0.134382
2015-03-06,-2.10394430787801,356.424903240993,0,0,0.105397285714298,0.217536
2015-03-07,-2.12960951669069,365.817012630372,0,0,0.116366142857155,0.315477
2015-03-08,-2.20970981602701,374.811478934215,0,0,0.130766000000012,0.935906
2015-03-09,-2.3430238094948,383.034880544881,0,0,0.145327142857155,0.855025
2015-03-10,-2.52631955552316,390.1729164979,0,0,0.158166428571441,0.951015
2015-03-11,-2.75442806760734,395.988601385747,0,0,0.166667714285727,0.995212
2015-03-12,-3.0205133025654,400.333911206502,0,0,0.178835571428584,0.833347
2015-03-13,-3.31650709067956,403.155043979094,0,0,0.223971142857155,0.80033
