energy,Hillslope1_20-30cm_HEAVY,Hillslope1_70-80cm_LIGHT,Hillslope1_70-80cm_HEAVY,Hillslope3_20-30cm_LIGHT,Hillslope3_20-30cm_HEAVY,Hillslope3_30-50cm_HEAVY,Hillslope3_50-60cm_LIGHT,Hillslope3_70-80cm_LIGHT,Hillslope3_70-80cm_HEAVY,MCB3_15-30cm_LIGHT,MCB3_15-30cm_HEAVY,MCB3_50-88cm_LIGHT,MCB3_50-88cm_HEAVY,MCB3_105-140cm_LIGHT,MCB3_105-140cm_HEAVY
2473.35,1.038886,1.0834711,1.3434435,1.3699619,1.1508845,0.90242497,1.4786151,1.0310026,1.3806035,1.0736241,1.1505398,1.3989507,1.4210162,1.1269667,1.2021362
2473.5,1.0605597,1.0334473,1.3399142,1.337082,1.1310762,0.89716026,1.4690833,1.0211335,1.3761058,1.090832,1.1361306,1.407919,1.3979401,1.106776,1.1411311
2473.65,1.0179952,0.97977837,1.2994148,1.2460015,1.1152401,0.88532934,1.3983162,0.98309228,1.3312021,1.026823,1.1110636,1.3724709,1.3721753,1.0709348,1.0749899
2473.8,1.0104665,0.89623926,1.227417,1.144657,1.0671096,0.83685679,1.2942857,0.91807789,1.3053606,0.96307571,1.0675512,1.3365288,1.3396708,0.99133997,0.99884777
2473.95,0.98572621,0.82596064,1.1370031,1.0259491,1.0089456,0.78431613,1.1267115,0.84230169,1.2864773,0.87773562,1.0116316,1.3070764,1.3116642,0.90987741,0.93302672
2474.1,0.93548017,0.77837326,1.0494242,0.92125857,0.9753348,0.73460444,1.0579083,0.7802361,1.2592757,0.79161632,0.95318287,1.2587179,1.2857592,0.81823141,0.87490092
2474.25,0.9344643,0.73431988,0.95739077,0.84902147,0.93832042,0.69723147,0.96690235,0.72096789,1.2269448,0.74169008,0.93770999,1.2400451,1.2692891,0.74648677,0.83539722
2474.4,0.91294186,0.70019851,0.92546194,0.8207597,0.92525633,0.68598168,0.90891302,0.69193078,1.1999918,0.70635441,0.90116673,1.1996463,1.2505655,0.70733343,0.79756057
2474.55,0.89668122,0.67986344,0.91017123,0.79883279,0.90245731,0.6875834,0.87664075,0.6668353,1.2086146,0.68087257,0.88482329,1.1700396,1.2419466,0.69070344,0.78027661
2474.7,0.90668833,0.67456995,0.90728912,0.82686218,0.90639587,0.68349075,0.86563719,0.69296379,1.1947574,0.69728469,0.88830717,1.128923,1.2528182,0.70242976,0.77187865
