GRO_BOT_energy,GRO_BOT_data,GRO_MID_energy,GRO_MID_data,GRO_TOP_energy,GRO_TOP_data,PLM6_pristine_energy,PLM6_pristine_data,PLM6_weathered_energy,PLM6_weathered_data
2479.35,1.0322556,2479.35,1.0261061,2479.35,0.99723181,2479.35,1.0587505,2479.35,1.0398546
2479.5,1.0284992,2479.5,1.0331025,2479.5,1.0178109,2479.5,1.071149,2479.5,1.058495
2479.65,1.0505098,2479.65,1.0412651,2479.65,1.0411122,2479.65,1.078524,2479.65,1.0689447
2479.8,1.0657106,2479.8,1.0479778,2479.8,1.076722,2479.8,1.0829832,2479.8,1.0800407
2479.95,1.0633512,2479.95,1.0594791,2479.95,1.0952721,2479.95,1.082119,2479.95,1.0900872
2480.1,1.069685,2480.1,1.0718197,2480.1,1.1232103,2480.1,1.0838008,2480.1,1.1015462
2480.25,1.0955919,2480.25,1.0938644,2480.25,1.161162,2480.25,1.0931132,2480.25,1.1179475
2480.4,1.1374042,2480.4,1.1138906,2480.4,1.2319884,2480.4,1.1125069,2480.4,1.1411086
2480.55,1.1722666,2480.55,1.1503437,2480.55,1.3120533,2480.55,1.1260328,2480.55,1.1869142
2480.7,1.22602,2480.7,1.2120755,2480.7,1.4286075,2480.7,1.149994,2480.7,1.2306902
2480.85,1.2981087,2480.85,1.2778837,2480.85,1.5476288,2480.85,1.1818619,2480.85,1.2923663
2481,1.3914816,2481,1.3441181,2481,1.6883129,2481,1.2321956,2481,1.3734569
2481.15,1.4808092,2481.15,1.4403228,2481.15,1.8509245,2481.15,1.2638897,2481.15,1.4473645
2481.3,1.5811894,2481.3,1.5294437,2481.3,2.0180839,2481.3,1.304267,2481.3,1.5181274
2481.45,1.6670392,2481.45,1.6029519,2481.45,2.1518084,2481.45,1.3285018,2481.45,1.5839652
2481.6,1.7268346,2481.6,1.6629848,2481.6,2.251019,2481.6,1.3469438,2481.6,1.6200521
2481.75,1.774148,2481.75,1.7002852,2481.75,2.2989598,2481.75,1.3666546,2481.75,1.6460608
2481.9,1.7729926,2481.9,1.7026329,2481.9,2.3079181,2481.9,1.3484608,2481.9,1.645172
2482.05,1.7600331,2482.05,1.6800057,2482.05,2.2178959,2482.05,1.3333017,2482.05,1.6150289
2482.2,1.6934028,2482.2,1.6355587,2482.2,2.1449564,2482.2,1.2861267,2482.2,1.563196
2482.35,1.6246945,2482.35,1.5653755,2482.35,2.0323887,2482.35,1.2615231,2482.35,1.4794723
2482.5,1.4932818,2482.5,1.47706,2482.5,1.8440277,2482.5,1.227967,2482.5,1.4100928
2482.65,1.3696633,2482.65,1.3947847,2482.65,1.7167105,2482.65,1.1778851,2482.65,1.3304801
2482.8,1.3379293,2482.8,1.2913997,2482.8,1.5671848,2482.8,1.1568327,2482.8,1.2785971
