Energy (eV),spot 1,spot 3,spot 2
2494.6752,0.98338754,1.0384518,1.0858947
2494.9252,0.98599888,1.0025977,0.97361229
2495.1752,0.98981563,1.0258789,1.0332428
2495.4252,0.98610792,1.0225065,1.1008239
2495.6752,0.99371903,1.0026907,1.1617459
2495.9252,0.98662492,1.004625,1.1216965
2496.1752,0.98953721,0.98332474,1.0686176
2496.4253,0.98074219,1.0078912,1.2248527
2496.6753,0.96958404,0.98188405,1.1542607
2496.9253,0.98360168,0.99777457,1.0660152
2497.1753,0.98232225,0.98917404,1.1325553
2497.4253,0.97900182,0.9919569,1.0925274
2497.6753,0.9880814,0.97616071,1.1257197
2497.9253,0.97944505,0.98797436,1.2432956
2498.1753,0.98103412,0.95066269,1.1424138
2498.4253,0.99609471,0.98141887,1.1407828
2498.6753,0.97136466,0.9616027,1.1208579
2498.9253,0.962406,0.97466294,1.1296442
2499.1754,0.9809836,0.96195065,1.0734588
2499.4254,0.9750374,0.9516827,1.1381507
2499.6754,0.97237219,0.95558998,1.2273463
2499.9254,0.96707591,0.95449779,1.1904701
2500.1754,0.95319299,0.929301,1.1057663
2500.4254,0.96547429,0.92876897,1.0308204
2500.6754,0.95527761,0.950631,1.0908014
2500.9254,0.96686607,0.91904332,1.1343108
2501.1754,0.97094891,0.93406307,0.90165128
2501.4254,0.96946837,0.91489461,1.0129383
2501.6755,0.94938437,0.91286967,0.9413259
2501.9255,0.95322451,0.89795758,0.94809553
2502.1755,0.94767929,0.92097136,0.89035146
2502.4255,0.96729135,0.9121485,0.92797053
2502.6755,0.95349876,0.94525879,0.89602863
2502.9255,0.95558544,0.93861347,0.88346863
2503.1755,0.94971989,0.9330355,0.89835986
2503.4255,0.97173155,0.92214586,0.86818072
2503.6755,0.96357709,0.92631185,0.88517527
2503.9255,0.97843411,0.91508143,0.89848076
2504.1755,0.95152163,0.93347134,0.92189866
2504.4256,0.95763292,0.90380521,0.84940339
2504.6756,0.9809621,0.91929115,0.88949671
2504.9256,0.956868,0.9560087,0.77340563
2505.1756,0.97585956,0.91436368,0.87632383
2505.4256,0.98110361,0.92457731,0.83127803
2505.6756,0.97847378,0.91745666,0.77653138
2505.9256,0.99771909,0.95221231,0.78983794
2506.1756,0.98603818,0.94646935,0.76500078
2506.4256,0.97768364,0.95389448,0.85587841
2506.6756,0.97144074,0.92276704,0.88594679
2506.9257,0.99326665,0.93776223,0.86178263
2507.1757,0.97895297,0.93847005,0.7519876
2507.4257,0.99088693,0.95884938,0.74471913
2507.6757,0.98291125,0.94398651,0.82965523
2507.9257,0.9749416,0.95778691,0.73861282
2508.1757,0.99890884,0.93674669,0.78804491
2508.4257,0.99805942,0.94147731,0.79878113
2508.6757,0.99739518,0.94455219,0.79418066
2508.9257,0.97664871,0.95361601,0.72690367
2509.1757,0.99596468,0.94575759,0.92558382
2509.4257,1.0025168,0.93391684,0.74238262
2509.6758,0.99193661,0.94236705,0.65334905
2509.9258,0.98149934,0.93947946,0.75015314
2510.1758,1.0135069,0.94661748,0.85341397
2510.4258,1.0008176,0.95080051,0.78992028
2510.6758,0.98860931,0.96756454,0.8263597
2510.9258,0.99687197,0.97575207,0.78431802
2511.1758,1.0168271,0.98834887,0.66015308
2511.4258,1.0037078,0.96392357,0.81188503
2511.6758,1.0023489,0.98592102,0.78799818
2511.9258,0.99521745,0.99732227,0.87567418
2512.1759,1.0286135,0.97206296,0.80684624
2512.4259,1.0259594,0.98612112,0.77951965
2512.6759,1.0220351,0.99468597,0.83613547
2512.9259,1.0194749,0.97522119,0.91028978
2513.1759,1.0197996,1.0156427,0.90816435
2513.4259,1.0205838,1.0131336,0.8488553
2513.6759,1.0418721,1.0469972,0.78190649
2513.9259,1.038513,1.0076662,0.81605842
2514.1759,1.0404052,1.0263417,0.98368177
2514.4259,1.0298794,1.047676,0.89663844
2514.6759,1.0397669,1.0746525,1.0130347
2514.926,1.0358449,1.0653106,0.85936851
2515.176,1.0378961,1.0324561,0.88000529
2515.426,1.0393571,1.0270616,0.87372278
2515.676,1.0645668,1.0666467,0.9186505
2515.926,1.0671632,1.0658044,0.94512739
2516.176,1.0578839,1.0647459,0.93375373
2516.426,1.0816759,1.075646,0.93558384
