Plot,Treatment,Collar,DateTime,gC.m2.hr,DateTime
2,H,C,9/3/14 14:52,0.070970108,9/3/14
2,H,D,9/3/14 15:01,0.092440619,9/3/14
2,H,E,9/3/14 15:10,0.100566059,9/3/14
2,H,F,9/3/14 15:21,0.067819111,9/3/14
2,H,G,9/3/14 15:44,0.062034607,9/3/14
3,C,A,9/4/14 8:01,0.062109157,9/4/14
3,C,B,9/4/14 8:11,0.051707025,9/4/14
3,C,C,9/4/14 8:34,0.061235127,9/4/14
3,C,D,9/4/14 8:42,0.069519031,9/4/14
3,C,E,9/4/14 9:13,0.071226491,9/4/14
3,C,F,9/4/14 9:23,0.096476424,9/4/14
3,C,G,9/4/14 9:33,0.099863685,9/4/14
3,H,A,9/4/14 9:42,0.075326788,9/4/14
3,H,B,9/4/14 9:52,0.08356074,9/4/14
3,H,C,9/4/14 10:01,0.085144757,9/4/14
3,H,D,9/4/14 10:11,0.084992941,9/4/14
3,H,E,9/4/14 10:23,0.073811547,9/4/14
3,H,F,9/4/14 10:34,0.079290324,9/4/14
3,H,G,9/4/14 10:43,0.100493272,9/4/14
2,C,A,10/6/14 14:53,0.167196604,10/6/14
2,C,B,10/6/14 15:02,0.152740564,10/6/14
2,C,C,10/6/14 15:11,0.106996619,10/6/14
2,C,D,10/6/14 15:20,0.217191969,10/6/14
2,C,E,10/6/14 15:29,0.280854792,10/6/14
2,C,F,10/6/14 15:39,0.19108726,10/6/14
2,C,G,10/6/14 15:50,0.138159154,10/6/14
2,H,A,10/6/14 13:47,0.196762969,10/6/14
2,H,B,10/6/14 13:57,0.166078625,10/6/14
2,H,C,10/6/14 14:07,0.121950585,10/6/14
2,H,D,10/6/14 14:15,0.141533669,10/6/14
2,H,E,10/6/14 14:24,0.186893802,10/6/14
2,H,F,10/6/14 14:35,0.153511913,10/6/14
2,H,G,10/6/14 14:43,0.098412316,10/6/14
1,C,A,10/10/14 16:05,0.090819521,10/10/14
1,C,B,10/10/14 16:15,0.127060712,10/10/14
1,C,C,10/10/14 16:24,0.124148357,10/10/14
1,C,D,10/10/14 16:34,0.138144859,10/10/14
1,C,E,10/10/14 16:43,0.154057616,10/10/14
1,C,F,10/10/14 16:52,0.133955458,10/10/14
1,C,G,10/10/14 17:04,0.099627038,10/10/14
1,H,A,10/10/14 15:00,0.318210716,10/10/14
1,H,B,10/10/14 15:09,0.221806001,10/10/14
1,H,C,10/10/14 15:19,0.214862638,10/10/14
1,H,D,10/10/14 15:28,0.169264047,10/10/14
1,H,E,10/10/14 15:36,0.308785488,10/10/14
1,H,F,10/10/14 15:47,0.174406901,10/10/14
1,H,G,10/10/14 15:56,0.178583591,10/10/14
3,C,A,10/10/14 13:44,0.087322804,10/10/14
3,C,B,10/10/14 13:56,0.080993376,10/10/14
3,C,C,10/10/14 14:08,0.188386265,10/10/14
3,C,D,10/10/14 14:18,0.095208013,10/10/14
3,C,E,10/10/14 14:27,0.082951564,10/10/14
3,C,F,10/10/14 14:37,0.100269608,10/10/14
3,C,G,10/10/14 14:47,0.117190873,10/10/14
3,H,A,10/10/14 12:33,0.108968176,10/10/14
3,H,B,10/10/14 12:43,0.124637942,10/10/14
3,H,C,10/10/14 12:52,0.148603728,10/10/14
3,H,D,10/10/14 13:01,0.099095151,10/10/14
3,H,E,10/10/14 13:13,0.090772151,10/10/14
3,H,F,10/10/14 13:23,0.108447186,10/10/14
3,H,G,10/10/14 13:32,0.091097811,10/10/14
1,C,A,11/17/14 12:57,0.129473308,11/17/14
1,C,B,11/17/14 13:06,0.174472464,11/17/14
1,C,C,11/17/14 13:15,0.109024363,11/17/14
1,C,D,11/17/14 13:45,0.220052572,11/17/14
1,C,E,11/17/14 13:54,0.150498095,11/17/14
1,C,F,11/17/14 14:03,0.114014673,11/17/14
1,C,G,11/17/14 14:14,0.136040839,11/17/14
1,H,A,11/17/14 11:58,0.364678381,11/17/14
1,H,B,11/17/14 12:05,0.335305448,11/17/14
1,H,C,11/17/14 12:14,0.230087867,11/17/14
1,H,D,11/17/14 12:22,0.222625984,11/17/14
1,H,E,11/17/14 12:31,0.429119513,11/17/14
1,H,F,11/17/14 12:40,0.230313357,11/17/14
1,H,G,11/17/14 12:49,0.207576094,11/17/14
2,C,A,11/17/14 15:33,0.145335878,11/17/14
2,C,B,11/17/14 16:35,0.139237674,11/17/14
2,C,C,11/17/14 15:42,0.097028191,11/17/14
2,C,D,11/17/14 15:51,0.191409826,11/17/14
2,C,E,11/17/14 15:59,0.277788154,11/17/14
2,C,F,11/17/14 16:08,0.140520855,11/17/14
2,C,G,11/17/14 16:26,0.118048806,11/17/14
2,H,A,11/17/14 14:29,0.203786982,11/17/14
2,H,B,11/17/14 14:38,0.185400846,11/17/14
2,H,C,11/17/14 14:46,0.103267628,11/17/14
2,H,D,11/17/14 14:55,0.19946416,11/17/14
2,H,E,11/17/14 15:04,0.181624839,11/17/14
2,H,F,11/17/14 15:14,0.15443462,11/17/14
2,H,G,11/17/14 15:23,0.128360334,11/17/14
3,C,A,11/18/14 8:06,0.107285281,11/18/14
3,C,B,11/18/14 8:15,0.074475269,11/18/14
3,C,C,11/18/14 8:24,0.090852573,11/18/14
3,C,D,11/18/14 8:32,0.317819953,11/18/14
3,C,E,11/18/14 8:41,0.094324207,11/18/14
3,C,F,11/18/14 8:50,0.070639519,11/18/14
3,C,G,11/18/14 8:58,0.127247837,11/18/14
3,H,A,11/18/14 9:07,0.124023361,11/18/14
3,H,B,11/18/14 9:16,0.127685787,11/18/14
3,H,C,11/18/14 9:25,0.182839535,11/18/14
3,H,D,11/18/14 9:34,0.102597132,11/18/14
3,H,E,11/18/14 9:42,0.110860256,11/18/14
3,H,F,11/18/14 9:51,0.121566535,11/18/14
3,H,G,11/18/14 10:00,0.107480904,11/18/14
1,C,A,1/8/15 13:28,0.086955618,1/8/15
1,C,B,1/8/15 13:36,0.109255646,1/8/15
1,C,C,1/8/15 13:45,0.094804835,1/8/15
1,C,D,1/8/15 13:53,0.170519511,1/8/15
1,C,E,1/8/15 14:02,0.096502069,1/8/15
1,C,F,1/8/15 14:10,0.085361863,1/8/15
1,C,G,1/8/15 14:20,0.096717119,1/8/15
1,H,A,1/8/15 12:19,0.303323774,1/8/15
1,H,B,1/8/15 12:29,0.230322751,1/8/15
1,H,C,1/8/15 12:39,0.149062413,1/8/15
1,H,D,1/8/15 12:48,0.136212736,1/8/15
1,H,E,1/8/15 12:59,0.293897318,1/8/15
1,H,F,1/8/15 13:09,0.137658408,1/8/15
1,H,G,1/8/15 13:19,0.192002394,1/8/15
2,C,A,1/8/15 15:34,0.095559776,1/8/15
2,C,B,1/8/15 15:44,0.080063703,1/8/15
2,C,C,1/8/15 15:54,0.080950797,1/8/15
2,C,D,1/8/15 16:48,0.091609348,1/8/15
2,C,E,1/8/15 16:15,0.167134369,1/8/15
2,C,F,1/8/15 16:25,0.087929866,1/8/15
2,C,G,1/8/15 16:38,0.07380925,1/8/15
2,H,A,1/8/15 14:29,0.176501327,1/8/15
2,H,B,1/8/15 14:38,0.1384897,1/8/15
2,H,C,1/8/15 14:46,0.097986264,1/8/15
2,H,D,1/8/15 14:55,0.126441989,1/8/15
2,H,E,1/8/15 15:05,0.149644204,1/8/15
2,H,F,1/8/15 15:15,0.119087795,1/8/15
2,H,G,1/8/15 15:24,0.090759178,1/8/15
3,C,A,1/9/15 8:16,0.090488311,1/9/15
3,C,B,1/9/15 8:24,0.047421534,1/9/15
3,C,C,1/9/15 8:35,0.054113847,1/9/15
