sampling date,depth(cm),Plot,Trt,Fraction,d13C,d15N (Air),%C,% N,C:N,% fraction,BulkDensity(g/cc),mass soil fract (g),mass C fraction (g),proportion of C
20170601,40-44,3,H,DF,152.66,4.85,0.186736594,0.026452491,7.059319931,101.3943806,1.312,105.6595352,0.197305017,0.72195744
20170601,85-89,3,H,fLF,1982.29,1,41.73793655,0.869634764,47.99478847,0.038100508,1.427,0.035931217,0.014996949,0.148565846
20170601,85-89,3,H,oLF,565.98,7.45,41.70510708,1.738056013,23.99526066,0.002540034,1.427,0.002395414,0.00099901,0.009896599
20170601,85-89,3,H,DF,319.32,2.24,0.088754948,0.031791622,2.79177162,101.4901002,1.427,95.71165986,0.084948834,0.841537554
20170601,10-14,2,H,fLF,-12.86,0.32,51.04466628,0.538171114,94.84839477,10.66747221,0.683,4.626952068,2.361812242,0.727707149
20170601,10-14,2,H,oLF,-20.68,1.4,50.83727363,0.615330181,82.61787768,1.277758419,0.683,0.554220048,0.281750362,0.086811199
20170601,10-14,2,H,DF,2.23,2.55,1.512651662,0.089025402,16.99123661,91.75236612,1.128,39.79703829,0.601990561,0.185481652
20170601,40-44,2,H,fLF,7.21,-0.18,45.36008929,0.592060565,76.61393443,2.483085265,1.128,1.610471992,0.730511534,0.631042564
20170601,40-44,2,H,oLF,-3.35,0.78,48.69701317,0.633885483,76.82304527,0.491855527,1.128,0.319006182,0.155346482,0.13419397
20170601,40-44,2,H,DF,74.71,4.08,0.429016253,0.043254216,9.918484145,97.67055315,1.128,63.34687435,0.271768386,0.234763466
20170601,85-89,2,H,fLF,522.98,-0.06,46.05908787,0.705994837,65.23997833,0.054861595,1.391,0.049221987,0.022671198,0.249115232
20170601,85-89,2,H,oLF,143.34,1.37,39.94500724,1.241678726,32.17016317,0.004026539,1.391,0.003612623,0.001443062,0.015856632
20170601,85-89,2,H,DF,362.07,1.37,0.074162577,0.035313975,2.100091491,100.5316073,1.391,90.19725964,0.066892612,0.735028136
20170601,10-14,2,H,fLF,-13.23,-0.45,41.18129489,0.703988589,58.49710564,22.76098405,0.683,3.846287651,1.58395106,0.750466347
20170601,10-14,2,H,oLF,-19.36,0.88,45.48378378,0.831081081,54.72845528,3.691652352,0.683,0.623837564,0.283744929,0.134436616
20170601,10-14,2,H,DF,-6.13,1.66,1.842634621,0.09443882,19.51141079,78.01618831,1.128,13.1836436,0.242926381,0.115097037
20170601,40-44,2,H,fLF,33.55,0.35,37.05865859,0.684163302,54.16639344,0.798777391,1.128,0.550122782,0.203868124,0.363459064
20170601,40-44,2,H,oLF,-0.88,1.11,46.30268951,0.733185127,63.15279429,0.21398533,1.128,0.147372981,0.068237654,0.121655084
20170601,40-44,2,H,DF,85.28,4.43,0.420843457,0.05202913,8.088612275,99.64381198,1.128,68.62529118,0.288805048,0.514885851
20170601,85-89,2,H,fLF,78.36,-0.64,43,0.755308392,56.93038822,2.994346911,1.391,2.208381751,0.949604153,0.850044813
20170601,85-89,2,H,oLF,13.21,0.04,39.87285006,0.724912947,55.00363901,0.102211606,1.391,0.075382797,0.03005727,0.026905976
20170601,85-89,2,H,DF,207.41,3,0.189706228,0.030664842,6.186440678,98.24851496,1.391,72.45995001,0.137461038,0.123049212
